2026-03-26 08:42:13 | ERROR    | app.services.stock_service:_get_api:122 - pytdx无法连接任何服务器
2026-03-26 08:42:18 | ERROR    | app.services.stock_service:get_stock_list:205 - 从pytdx获取股票列表失败: 'NoneType' object cannot be interpreted as an integer
2026-03-26 08:42:18 | INFO     | app.services.screening_engine:screen_stocks:53 - 获取到 10 只股票
2026-03-26 08:42:18 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 exclude_st, 剩余 10 只
2026-03-26 08:42:18 | INFO     | app.services.screening_engine:screen_stocks:59 - 应用排除规则 market_cap, 剩余 0 只
2026-03-26 08:42:18 | ERROR    | app.services.stock_service:_get_api:122 - pytdx无法连接任何服务器
2026-03-26 08:42:23 | WARNING  | app.services.stock_service:get_realtime_quote:234 - pytdx未获取到实时行情 000001，尝试重连...
2026-03-26 08:42:23 | INFO     | app.services.stock_service:_reconnect:128 - 尝试重新连接pytdx...
2026-03-26 08:42:23 | ERROR    | app.services.stock_service:_get_api:122 - pytdx无法连接任何服务器
2026-03-26 08:42:23 | ERROR    | app.services.stock_service:_get_api:122 - pytdx无法连接任何服务器
2026-03-26 08:43:38 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:43:53 | INFO     | app.services.stock_service:_get_api:112 - pytdx连接成功: 180.153.18.170:7709
2026-03-26 08:43:54 | INFO     | app.services.stock_service:_load_stock_names:77 - 已缓存 1491 个股票名称
2026-03-26 08:43:54 | INFO     | app.services.stock_service:get_intraday_data:496 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:43:54 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:43:54 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:43:54 | INFO     | app.services.stock_service:get_kline_data:324 - 从pytdx获取K线数据成功: 000001, 60条
2026-03-26 08:43:55 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:43:55 | INFO     | app.services.stock_service:get_intraday_data:496 - 从pytdx获取分时数据成功: 000001, 240条
2026-03-26 08:43:55 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:43:56 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
2026-03-26 08:43:56 | INFO     | app.services.stock_service:get_market_overview:430 - 从pytdx获取市场概览成功
